iter	Passed	Remaining
0	4	1280
1	7	1182
2	11	1131
3	14	1087
4	17	1060
5	21	1029
6	23	991
7	27	994
8	29	953
9	31	923
10	34	896
11	36	873
12	38	852
13	40	836
14	43	823
15	45	807
16	47	797
17	50	783
18	52	772
19	54	760
20	56	750
21	59	745
22	61	737
23	63	728
24	65	720
25	67	712
26	69	704
27	71	697
28	73	690
29	76	687
30	81	710
31	84	703
32	86	696
33	88	690
34	90	684
35	92	678
36	94	672
37	96	666
38	98	661
39	100	655
40	103	650
41	105	646
42	107	642
43	110	640
44	112	637
45	114	633
46	116	629
47	119	624
48	121	621
49	123	616
50	126	615
51	128	611
52	130	607
53	132	603
54	134	599
55	136	595
56	138	592
57	141	588
58	143	585
59	145	582
60	147	579
61	150	575
62	153	576
63	155	572
64	157	569
65	159	566
66	161	563
67	164	560
68	166	556
69	168	553
70	170	551
71	173	548
72	175	545
73	177	542
74	179	539
75	181	535
76	183	532
77	185	529
78	188	526
79	190	523
80	192	520
81	194	517
82	196	514
83	199	512
84	201	510
85	204	507
86	205	504
87	208	502
88	210	499
89	217	506
90	220	505
91	222	503
92	224	500
93	227	497
94	233	503
95	236	501
96	240	502
97	242	500
98	245	497
99	247	495
100	250	493
101	252	490
102	255	488
103	257	485
104	259	482
105	261	479
106	264	476
107	266	474
108	269	472
109	271	469
110	274	466
111	276	463
112	278	460
113	280	457
114	283	455
115	285	452
116	287	450
117	289	447
118	291	444
119	294	441
120	296	438
121	298	435
122	301	433
123	303	431
124	308	432
125	310	429
126	313	426
127	315	423
128	317	420
129	320	418
130	323	417
131	325	414
132	328	412
133	330	409
134	333	407
135	337	406
136	339	403
137	342	401
138	344	399
139	347	397
140	350	394
141	353	393
142	356	390
143	358	387
144	360	384
145	361	381
146	363	378
147	366	376
148	368	373
149	370	370
150	372	367
151	374	365
152	377	362
153	379	359
154	381	357
155	384	354
156	386	352
157	389	349
158	391	346
159	393	344
160	397	342
161	399	340
162	402	338
163	404	335
164	407	333
165	409	330
166	411	327
167	413	324
168	415	322
169	418	320
170	421	317
171	423	315
172	425	312
173	427	309
174	429	307
175	432	304
176	434	302
177	436	299
178	439	296
179	443	295
180	445	293
181	448	290
182	450	288
183	453	285
184	455	283
185	457	280
186	459	277
187	461	275
188	466	274
189	468	271
190	471	268
191	473	266
192	475	263
193	477	260
194	480	258
195	482	255
196	484	253
197	486	250
198	489	248
199	491	245
200	493	243
201	495	240
202	497	237
203	500	235
204	502	233
205	505	230
206	507	228
207	511	226
208	513	223
209	515	221
210	517	218
211	519	215
212	522	213
213	524	210
214	526	208
215	528	205
216	530	202
217	532	200
218	534	197
219	537	195
220	539	192
221	541	190
222	543	187
223	545	185
224	548	182
225	550	180
226	552	177
227	554	175
228	556	172
229	558	170
230	561	167
231	563	165
232	565	162
233	568	160
234	570	157
235	572	155
236	574	152
237	576	150
238	579	147
239	581	145
240	583	142
241	585	140
242	587	137
243	589	135
244	592	132
245	594	130
246	600	128
247	603	126
248	605	123
249	607	121
250	609	118
251	612	116
252	614	114
253	617	111
254	619	109
255	621	106
256	625	104
257	627	102
258	629	99
259	633	97
260	636	95
261	638	92
262	641	90
263	643	87
264	645	85
265	647	82
266	650	80
267	652	77
268	654	75
269	656	72
270	659	70
271	661	68
272	665	65
273	668	63
274	670	60
275	672	58
276	674	56
277	676	53
278	678	51
279	680	48
280	683	46
281	685	43
282	687	41
283	689	38
284	691	36
285	693	33
286	696	31
287	698	29
288	700	26
289	702	24
290	705	21
291	707	19
292	709	16
293	711	14
294	713	12
295	716	9
296	718	7
